,Unnamed: 0,ID,Timestamp,Text,Class
101,331,1199087870356513024,2019-11-25 22:10:00,Holidays are difficult when you are newly diagnosed with #breastcancer or any #cancer.  There is room for everyone at our table this holiday season.  If you think you don't belong that's all the more reason to reach out!  We are available all week long!  #LGBTQIA,1
103,337,1200532292558561024,2019-11-29 21:49:38,"It is an important message, April! Too many women I know have gone through #breastcancer including my wife! They are all still with us! ",0
105,2016,1204183882108669952,2019-12-09 23:39:44,"I am...so full.

Meeting ALL of these black women impacted by breast cancer from young to old just recharges my battery for advocacy.

I have no idea what to expect from  #SABCS but...I’m beyond open and ready",0
107,348,1208146794644815872,2019-12-20 22:06:56,Made my 3D diagnostic mammogram appointment for June 2020 before I see my breast surgeon again for follow-up. Hopefully last thing to think about for #breastcancer related things until after the new year! ,1
109,360,1213573820252140032,2020-01-04 21:32:00,Does anyone know if you should go ahead with a #zometra on Monday with a #chestinfection as I’m feeling awful ? My Dr refused  to give me antibiotics before Christmas but it’s getting worse... @macmillancancer #breastcancer #lastzometra #noadviceonline,1
111,361,1213578710537974016,2020-01-04 21:51:26,It's such a joy to be able to wear nail polish & have my nails looking OK after months of having damaged nails during #breastcancer treatment! pic.twitter.com/7H2jMZPKl0,1
113,373,1218306577582697984,2020-01-17 22:58:17,Listening to Break Me shake me in the middle of having a break down over my condition. It’s all better now! Breakdown is over @darrenhayes  #savagegarden #breakmeshakeme #darrenhayes #breastcancer #chemotherapy #fightingcancer,1
115,1822,1222141129120002048,2020-01-28 12:55:26,"b'#treatmenttuesday lunch is courtesy of @culinarycare and @rpmitalianchi \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80 many  thanks,  it  is  so  appreciated.  #abraxane #hereallyear #sevenlinesoftreatment #metastaticbreastcancer #treatmentisforlife'",0
118,1894,1224783446318383104,2020-02-04 19:55:03,b'thank you @people for the opportunity to share my #breastcancer story and benefits of #oncoplasticsurgery - hope that all women will some day have access to the same kind of truly patient-focused surgical care that i did @myhiddenscar',1
121,1713,1224930721044685056,2020-02-05 05:40:16,b'rush please investigate cryoablation for your lung cancer. it has a 50% chance of giving you immunity to your cancer. my wife is a 17 yr survivor of breast cancer and avoided mastectomy.',0
125,1949,1225051323567170048,2020-02-05 13:39:00,"b""#breastcancerbaddie @marquitawrites has written two blogs for us and is an awesome published writer! her books on parenting and #breastcancer and great for all families. take a look and see for yourself!! #bcsm #forthebreastofus\n\ncongrats marquita!! we're proud of you\xf0\x9f\x98\x8a""",0
127,1666,1225204811500524032,2020-02-05 23:49:24,"b""tonight's honorary cancer survivor prior to @osumbb is susan coltharp. sangre ridge 3rd grade teacher. diagnosed july 2019. breast cancer. finishes chemo tomorrow!  followed by 16 radiation treatments. she is grateful for the support and prayers of family and friends. #survivor""",0
130,1653,1225529765551058944,2020-02-06 21:20:40,"b'@frugaldietitian if i had a nickel for every breast cancer survivor i\'ve counseled that ""cut out carbs"" but kept drinking wine (in order to lose weight), i\'d be a rich woman.'",0
133,1697,1225546271928279040,2020-02-06 22:26:15,"b'@reallorraine hi also my hip , i see the oncologist tomorrow. i want to cry but i just can't.i am not sure how i should feel xx #breastcancer @realtittygritty \xf0\x9f\x92\x9c\xf0\x9f\x8c\xb8'",1
137,1850,1225815548887518976,2020-02-07 16:16:16,b'@lori_burwell @mlsfleming2 @athleteonchemo i hate this for our community.  the suffering is enormous on so many levels.  smh. #cancer #breastcancer the loneliest place i've ever visited! ',0
140,1900,1225910813950643968,2020-02-07 22:34:49,"b'as someone currently battling breast cancer for about a year now, @yandr_cbs had me \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad today. great job @sharonlcase looking forward to continuing the journey. #breastcancer #journey'",0
143,1889,1225952046211371008,2020-02-08 01:18:39,b'@double_whammied @fredhutch brilliant! love it &amp; when my @tedxoldham talk eventually comes out you'll see i state \xe2\x80\x9cexercise is a pill\xe2\x80\x9d \n\nsinging from the same hymnsheet! \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\n\n#busylivingwithmets #breastcancer #metastaticbreastcancer #bccww',0
146,1869,1225974665014850048,2020-02-08 02:48:32,"b'@tmz disgusting. her smoking habit has nothing to do with wildfire damage. and speaking as a breast cancer survivor who smokes, there is no link between cigarettes and breast cancer. that is per my oncologist. state farm should be ashamed of themselves.'",0
149,1912,1226954303543369984,2020-02-10 19:41:16,"b""a7 as i'm essentially re-launching my biz, pretty much everything except the logo. i like my new logo quite a bit, think it's a bit timeless. but i really need to get on the ball w/ everything else. it's just been difficult while grieving over mum. #breastcancer #bizapaloozachat""",0
152,1942,1226981583590129920,2020-02-10 21:29:00,"b'i went to the swimming pool this morning and did aqua aerobics. first time in a long time and it felt good. 9th post chemo iv infusion in the afternoon, only 3 more to go. a couple of days of rest on the sofa with my knitting for me i think. #breastcancer #herceptin #fatigue'",1
154,1859,1227393042316955904,2020-02-12 00:44:39,"b'@abcdiagnosis @angemknox @uk_oncologist @nhsuk @metupukorg @gm_cancer @gmcancerui @sbcsg_fb @2ndary1st @secondhopeorg @make2ndscount @abcglobalall @breastcancernow @thechristienhs i am doing good. ibrance, letrozol. last two pet scans nead. both legs, both hips, sternum, skull, scapula and ribs. small pleural effusion.  nodes in mediastinum. pain but ok. still working but from home. just hoping to stay nead for as long as possible. any advice accepted.'",1
157,1678,1227501905397468928,2020-02-12 07:57:14,b'i genuinely can't get over the disrespect of having a breast cancer scare and having the gall to call yourself cancer survivor \xf0\x9f\xa4\xaf',1
160,405,1229904269274468096,2020-02-18 23:03:22,@DukeCancer for mom’s annual check up from #sarcoma 5 yrs ago. Still #CancerFree! We also got to watch an excited man #RingTheBell to celebrate his last #chemotherapy. New patients around us didn’t know meaning or why we were teary eyed.  #cancer #breastcancer #survivor #healthpic.twitter.com/c2on31oLOI,0
162,1868,1232749104448655104,2020-02-26 19:27:44,"b""#breastcancer #survivors are 3x more likely than women in the general population to have a cardiac event. this is crazy! i've been working in #breastcancer #survivorship for years, and i didn't know this! #cardiooncology #behavioralmedchat""",0
165,1671,1233066765141209088,2020-02-27 16:30:00,"#audrelorde describes an authentic, real and lived experience as a #breastcancer survivor in her memoir #thecancerjournals",0
168,1947,1233086849389755904,2020-02-27 17:49:00,b'keytruda chemo for early stage triple negative #breastcancer for those who can get on a clinical ical trial. i've heard of a couple women on ig who tried it. this drug wasn't offered to me for my #tnbc - tnbc is more aggressive than hormone based breast cancer.',1
170,1686,1233651320776773888,2020-02-29 07:12:49,nhs may not be perfect but we are still very lucky. #bcsm #breastcancer #breastreconstruction,0
174,1709,1233799713679388928,2020-02-29 17:02:29,b'congratulations to @spiveysandra! when i first entered this unsought world of #metastatic #breastcancer #advocacy i heard of the legendary sandi spivey. i decided i wanted to grow up and be like sandi. my life is better for knowing her and having her as a friend.',0
178,1886,1234024066597741056,2020-03-01 07:53:59,"this is me for sure, especially since active #breastcancer treatment",1
181,1246,1234817821101548032,2020-03-03 12:28:05,b'1 of every 8 women in the us will develop invasive breast cancer at some point. about 10-20% of #breastcancer is triple-negative breast cancer.  \nthe five-year survival rate for tnbc is around 77 percent v/s 93 percent for other kinds of breast cancer.\n#tnbcday',0
183,1835,1234857118089522944,2020-03-03 15:04:14,best wishes to shannen as she goes through this. #breastcancer #bcsm,0
186,1893,1234936557804670976,2020-03-03 20:19:54,"b""@debchesy @hippyheaven @breastcancernow brilliant\xe2\x9d\xa4\xef\xb8\x8fi'm three years in, we need meds and mri scans, its unfair that a #breastcancer so rare is unknown to most and treated like other types. its aggressive nature to spread so rapidly is why we should be scanned more regularly &amp; continually #triplenegativebreastcancerday\xf0\x9f\x99\x8f""",1
189,1854,1235020377128129024,2020-03-04 01:52:58,"b""that's it. just that i love and will always miss her. she outlived her husband and only son. the two biggest male influences in her life. multiple time breast cancer surviver, she beat a lot that life can throw at you. she was the embodiment of god's love.""",0
192,1832,1235026455970468096,2020-03-04 02:17:07,"@shysakura_ breast cancer can be extremely scary, i hope that everything turns out okay :(",0
195,1944,1235341147322692096,2020-03-04 23:07:00,@gottakesyallll glad to hear. my mom is a 2 time breast cancer survivor so i've seen the toll it takes,0
197,1628,1235350672083649024,2020-03-04 23:45:26,b'there are ppl annoyed by the amount of political talk tonight to which i have to say: i don't care. i haven't had health insurance in about ten years. i had a breast cancer scare two years ago that shook my family to their core bc we would lose everything w/ the cost of treatment',1
199,1622,1235443545042865920,2020-03-05 05:54:29,"b'my young breast cancer patient is scared of dying. she paid for a private ct because her wait time was 2 months. @shandro, you tote the lying party line while i have to sit face to face with her trying to reassure her. patients first? no cuts? shame on you ucp #backtothetable'",0
201,1943,1235589394494603008,2020-03-05 15:34:00,b'post op visit good! back in four months. no bruising and fat grafting seems good. here's hoping ! #breastreconstruction #breastcancer #adventhealth #plasticsurgery',0
203,1873,1235590463391804928,2020-03-05 15:38:17,"b'@scrippshealth @susantaylorsd as a breast cancer survivor (stage iiib tnbc), i can tell you this is your first and best line of defense. \n\nladies (and men with a family history) do self exams monthly. you are the owner/operator, and finding the lump early will save your life!'",1
206,1703,1235625665619283968,2020-03-05 17:58:10,b'@albertthanasis1 @twbookclub @luludotcom thank you for your comments. this is real life. 1 in 8 women are diagnosed with breast cancer in-spite of all the technology and advancements we've made. for my breast cancer type survival rate is 22%.',0
210,1964,1235626391330344960,2020-03-05 18:01:00,"b'+ we were to catch it before it developed into full blown cancer, she had a double mastectomy first of the year in 2019. it's been over a year since than that but, you can't help but think about all those people who had a fight with breast cancer and lost to it. it's sad that +'",0
212,1636,1235651873383649024,2020-03-05 19:42:18,@marksalter55 @ryangrim i'll gladly giggle about it while getting my breast lumps scanned for cancer for mere pocket change,1
214,1712,1235659352922456064,2020-03-05 20:12:01,"b'@jimbo_nash @painter_white @independent the majority of breast cancer cases are in women, so we should help women. the majority of terrorist cases are far right extremists, so we should focus on far right extremists. the logic here is pretty self-evident.'",0
218,1924,1235695973755544064,2020-03-05 22:37:00,b'@sanjoybow @daynapolley lenest30. mines low estrogen because breast cancer runs in the fam so i can't be high on estrogen. been on it since 17 tho and never had a problem',1
220,1846,1235712635233959936,2020-03-05 23:43:45,"b""so got some good news for a change. the pet scan my mom had shows that the cancer is out of her lymph nodes and bones and the tumor in her breast has shrunk. so they're going to continue with the chemo.""",0
223,1880,1235732198243930112,2020-03-06 01:01:29,"b'@hollar_ken how did she like mayo? i had terrible experience there. i went for help with fibromyalgia and they were awful! that said, they found i had breast cancer. my surgeon, who was a woman, was fabulous. breast cancer area was great. dermatologist was good. everything else was terrible.'",1
226,1238,1235986888252681984,2020-03-06 17:53:32,"b'so i've invited @shbrown45 to walk out with me sunday for international women's day &amp; happy to say she said yes. not only a die hard  @wiganwarriorsrl supporter but a 2 time breast cancer survivor! couldn't think of anyone else more deserving shirley, see you sunday! :D x'",0
230,1883,1235994744305709056,2020-03-06 18:24:45,b'this \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc i'm the worst for \xe2\x80\x9cputting up with side effects\xe2\x80\x9d don't do it tell your oncologist #breastcancer #secondarybreastcancer #busylivingwithmets #bccww',0
234,424,1238242038673481984,2020-03-12 23:14:42,Hello @marksandspencer I was told by the amazing Kate in M&S BraFit at Fosse Park Leicester that I can order a 40B of the post op bra as seen below so my mum can collect in Grimsby. I’ve just tried to order and it states out of stock. Please can you assist me  #breastcancer pic.twitter.com/OJdKiZDqeD,0
236,3167,1238496410439474944,2020-03-13 16:05:29,"b'from breast cancer when i was only 3 yrs old and then i thought about all the people at the place you're at who could have family members dying from cancer and/or have died. chemo isn't a fucking joke you cunt, but your abortion is'",0
238,3182,1238538941071945984,2020-03-13 18:54:29,b'@nancyspoint @carrieellman collateral damage resulting from an old theory that cancer leaves the breast through the lymph nodes one by one and removing them will slam the door. funny how we add things like neoadjuvant therapy but never subtract ie lymph nodes and mastectomy.  #bcsm',0
240,0,1061403737351015936,2018-11-10 23:42:25,Aftermath of #radiation treatment is real. I didn't understand what my doc meant about side effects can get worse after treatment ends. My skin is burned & itchy. I scratched my collarbone area where it was radiated & it bled. Ugh. Just want it to go away #breastcancer #misery ,1
241,1,1061732240659440000,2018-11-11 21:27:46,Last night we shared our message of hope while raising funds for the Northern Cancer Fund #thebutterflystory #breastcancer #survivorpic.twitter.com/473zu5JkdE,0
242,2,1061754866614365952,2018-11-11 22:57:41,If I’ve been MIA it’s b/c I was just diagnosed w/ #breastcancer early stage. Still a lot to wrap my head around but I got an awesome support system! @AmericanCancer,1
243,3,1061758941296819968,2018-11-11 23:13:52,“We count our numbers in years but God tells us to number our days”#Homegoing #breastcancer #usetimewisely,0
244,4,1062105160468578048,2018-11-12 22:09:37,"I've seen way too many people use #body positivity just as an excuse to be lazy, honesty that sickens me considering it was originally for those with breast cancer, amputees, and survivors of acid attacks. #breastcancer",0
245,5,1062847288584953984,2018-11-14 23:18:35,"Lovely/disorienting to feel almost normal again -- a month after my final radiation treatment for #breastcancer. Today did my usual 45-minute spin class; my spin teachers, oddly or not, have been among my kindest and most consistent support through diagnosis/surgery/treatment.",1
246,6,1062854158439666048,2018-11-14 23:45:52,Why do we even do surgery on axilla?  Staging is reason one also we hope the get then #NED - no evidence of disease says ⁦@DrJudyBoughey⁩ with cochair ⁦@mpgoetz⁩ ⁦@OncLiveSOSS⁩ #stateofscience #breastcancer ⁦@MayoClinic⁩ helps determine neoadjuvant chemopic.twitter.com/pvSlfjjmzk,0
247,7,1062856754839592960,2018-11-14 23:56:11,"In partnership with @Sharsheret three of our #breastcancer specialists in imaging, #radonc, and medical oncology are speaking at David Posnack Jewish Community Center in #Davie - @atperez_md Drs. Laura Freedman and Monica Yepespic.twitter.com/fAXVkUKZzj",0
248,8,1063565175645766016,2018-11-16 22:51:12,I agree with you on the exercising helping our bodies. #breastcancer,0
249,9,1065016546127426048,2018-11-20 22:58:26,"Check it out – I am proud to work for @SusanGKomen. Not only are we funding breakthroughs in #breastcancer research, but our work is lighting up #TimesSquare rallying everyone around us to join our fight to save lives! #AreYouIn?pic.twitter.com/8vxpu51YWe",0
250,10,1065024410787213056,2018-11-20 23:29:41,"I couldn’t be prouder to work for @SusanGKomen than at a time like today. Not only are we funding breakthroughs in #breastcancer research, but our work is lighting up #TimesSquare rallying everyone around us to join our fight to save lives! #AreYouIn?pic.twitter.com/AfKV6pvIZc",0
251,11,1065378277886493056,2018-11-21 22:55:49,Here is a big hug and prayer for you and i hope your cancer is cured. #breastcancer,0
252,13,1065719620865323008,2018-11-22 21:32:12,What a difference a year makes - it feels so weird now seeing some of these different stages of #hairloss to #hairgrowth as a result of #breastcancer and #chemo treatment. I would never have dared to cut my hair as short as some of these styles! pic.twitter.com/c8DqHODuc2,0
253,14,1065722442507828992,2018-11-22 21:43:25,Thanksgiving with my fam includes cbd and thc oil. You could say we are the bomb.  #painrelief for grandmas #breastcancer,0
254,15,1065722863204880000,2018-11-22 21:45:05,This week is the start of the holiday season & it’s our mission for every #breastcancer patient to celebrate many more holidays. We remain focused on funding breakthroughs in research. Patients are counting on us but we can’t do it alone. Join our fight to save lives. pic.twitter.com/sNPW6AU8Zy,0
255,16,1066100332495847040,2018-11-23 22:45:01,When it comes to #BreastCancer knowing the signs is just the beginning. We offer an array of #womensimaging services that can help detect & prevent the development of breast cancer. That's why we couldn't stress enough about getting your yearly #mammogram done. #Radiologypic.twitter.com/TaTQpTADCi,0
256,17,1066822209862320000,2018-11-25 22:33:30,Gearing up for my 1st genetic counseling appt tomorrow to discuss #breastcancer prevention. Started reading forums about prophylactic salpingo-oophorectomy and mastectomy with reconstruction and freaking out. Who wants to tell me menopause before 40 and new boobs ain't so bad?,0
257,19,1067197149086195968,2018-11-26 23:23:22,"Yes my lady GP convinced me to take #HRT then l developed #breastcancer so, l would advise you all to think about it seriously  #TheTruthAboutMenopause",1
258,21,1067561026718130048,2018-11-27 23:29:17,"Tonight , Felt chilled , achy , couldn’t stand unaided Temp checked by my son . Normal . Walking stick to aid me walking up the stairs . 89yr M-in-law  with broken foot has more mobility. #busylivingwithmets #breastcancer #letrozole",0
259,22,1067565504548744960,2018-11-27 23:47:05,Sonali. #MarignaniLab were the first 2 show loss of Lkb1 reduced latency of HER2+ #breastcancer with #metabolic #OXPHOS profile. #mTOR #PrecisionMedicine #cancermetabolism #sciencesaves #Science4Canada Very proud of my former PhD trainee DrRafaela Andrade-Vieira ,0
260,23,1067926394947068032,2018-11-28 23:41:08,"Tami is the name of a girl I grew up with, she lived just 2 doors down. We played together often, sat in trees we had climbed and talked for hours. She died at 35  from #breastcancer, a mother of 3 young boys. Visiting with her once toward the end changed my perspective forever",0
261,24,1068286303974973056,2018-11-29 23:31:17,"Enter to WIN this beautiful boat by #reefrunnerboats — complete with TACO Rub Rail and our new Flush Mount LED Navigation Lights. Visit @reef_runner_boats on Instagram for more info. Money raised goes to the @komenmiaftl, supporting efforts to find a cure for #breastcancer. pic.twitter.com/49ZU19jidJ",0
262,25,1068974983274209024,2018-12-01 21:07:51,I do enjoy my monthly @CoppaFeelPeople texts  #CheckYourBoobies #breastcancer #boobiecheck I think I'll be singing this line all monthpic.twitter.com/6YLICC2b1Q,0
263,26,1069343793655280000,2018-12-02 21:33:22,My thoughts on today's #ReverseAdventCalendar - I'm so grateful for the support of my lovely boss. Not many people have to beg to come back to work. I may think differently after tomorrow #FirstDayBack #breastcancer,0
