,Tweet,Treatment
13,b'@double_whammied @fredhutch brilliant! love it &amp; when my @tedxoldham talk eventually comes out you'll see i state \xe2\x80\x9cexercise is a pill\xe2\x80\x9d \n\nsinging from the same hymnsheet! \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc\n\n#busylivingwithmets #breastcancer #metastaticbreastcancer #bccww',stearate
14,"b'@tmz disgusting. her smoking habit has nothing to do with wildfire damage. and speaking as a breast cancer survivor who smokes, there is no link between cigarettes and breast cancer. that is per my oncologist. state farm should be ashamed of themselves.'",stearate
15,"b'i went to the swimming pool this morning and did aqua aerobics. first time in a long time and it felt good. 9th post chemo iv infusion in the afternoon, only 3 more to go. a couple of days of rest on the sofa with my knitting for me i think. #breastcancer #herceptin #fatigue'",chemotherapy
16,"b'@abcdiagnosis @angemknox @uk_oncologist @nhsuk @metupukorg @gm_cancer @gmcancerui @sbcsg_fb @2ndary1st @secondhopeorg @make2ndscount @abcglobalall @breastcancernow @thechristienhs i am doing good. ibrance, letrozol. last two pet scans nead. both legs, both hips, sternum, skull, scapula and ribs. small pleural effusion.  nodes in mediastinum. pain but ok. still working but from home. just hoping to stay nead for as long as possible. any advice accepted.'",ibrance
17,"b'@abcdiagnosis @angemknox @uk_oncologist @nhsuk @metupukorg @gm_cancer @gmcancerui @sbcsg_fb @2ndary1st @secondhopeorg @make2ndscount @abcglobalall @breastcancernow @thechristienhs i am doing good. ibrance, letrozol. last two pet scans nead. both legs, both hips, sternum, skull, scapula and ribs. small pleural effusion.  nodes in mediastinum. pain but ok. still working but from home. just hoping to stay nead for as long as possible. any advice accepted.'",letrazol
18,"b'@abcdiagnosis @angemknox @uk_oncologist @nhsuk @metupukorg @gm_cancer @gmcancerui @sbcsg_fb @2ndary1st @secondhopeorg @make2ndscount @abcglobalall @breastcancernow @thechristienhs i am doing good. ibrance, letrozol. last two pet scans nead. both legs, both hips, sternum, skull, scapula and ribs. small pleural effusion.  nodes in mediastinum. pain but ok. still working but from home. just hoping to stay nead for as long as possible. any advice accepted.'",letro
19,"b'@abcdiagnosis @angemknox @uk_oncologist @nhsuk @metupukorg @gm_cancer @gmcancerui @sbcsg_fb @2ndary1st @secondhopeorg @make2ndscount @abcglobalall @breastcancernow @thechristienhs i am doing good. ibrance, letrozol. last two pet scans nead. both legs, both hips, sternum, skull, scapula and ribs. small pleural effusion.  nodes in mediastinum. pain but ok. still working but from home. just hoping to stay nead for as long as possible. any advice accepted.'",letrozole
20,"b""#breastcancer #survivors are 3x more likely than women in the general population to have a cardiac event. this is crazy! i've been working in #breastcancer #survivorship for years, and i didn't know this! #cardiooncology #behavioralmedchat""",aredia
21,b'keytruda chemo for early stage triple negative #breastcancer for those who can get on a clinical ical trial. i've heard of a couple women on ig who tried it. this drug wasn't offered to me for my #tnbc - tnbc is more aggressive than hormone based breast cancer.',keytruda
22,b'keytruda chemo for early stage triple negative #breastcancer for those who can get on a clinical ical trial. i've heard of a couple women on ig who tried it. this drug wasn't offered to me for my #tnbc - tnbc is more aggressive than hormone based breast cancer.',chemotherapy
23,b'there are ppl annoyed by the amount of political talk tonight to which i have to say: i don't care. i haven't had health insurance in about ten years. i had a breast cancer scare two years ago that shook my family to their core bc we would lose everything w/ the cost of treatment',halaven
24,"b""so got some good news for a change. the pet scan my mom had shows that the cancer is out of her lymph nodes and bones and the tumor in her breast has shrunk. so they're going to continue with the chemo.""",chemotherapy
25,"b'@hollar_ken how did she like mayo? i had terrible experience there. i went for help with fibromyalgia and they were awful! that said, they found i had breast cancer. my surgeon, who was a woman, was fabulous. breast cancer area was great. dermatologist was good. everything else was terrible.'",aredia
26,"b'from breast cancer when i was only 3 yrs old and then i thought about all the people at the place you're at who could have family members dying from cancer and/or have died. chemo isn't a fucking joke you cunt, but your abortion is'",chemotherapy
27,b'@nancyspoint @carrieellman collateral damage resulting from an old theory that cancer leaves the breast through the lymph nodes one by one and removing them will slam the door. funny how we add things like neoadjuvant therapy but never subtract ie lymph nodes and mastectomy.  #bcsm',neoadjuvant
28,b'@nancyspoint @carrieellman collateral damage resulting from an old theory that cancer leaves the breast through the lymph nodes one by one and removing them will slam the door. funny how we add things like neoadjuvant therapy but never subtract ie lymph nodes and mastectomy.  #bcsm',monotherapy
29,Aftermath of #radiation treatment is real. I didn't understand what my doc meant about side effects can get worse after treatment ends. My skin is burned & itchy. I scratched my collarbone area where it was radiated & it bled. Ugh. Just want it to go away #breastcancer #misery ,aredia
30,Why do we even do surgery on axilla?  Staging is reason one also we hope the get then #NED - no evidence of disease says ⁦@DrJudyBoughey⁩ with cochair ⁦@mpgoetz⁩ ⁦@OncLiveSOSS⁩ #stateofscience #breastcancer ⁦@MayoClinic⁩ helps determine neoadjuvant chemopic.twitter.com/pvSlfjjmzk,neoadjuvant
31,Why do we even do surgery on axilla?  Staging is reason one also we hope the get then #NED - no evidence of disease says ⁦@DrJudyBoughey⁩ with cochair ⁦@mpgoetz⁩ ⁦@OncLiveSOSS⁩ #stateofscience #breastcancer ⁦@MayoClinic⁩ helps determine neoadjuvant chemopic.twitter.com/pvSlfjjmzk,chemotherapy
32,This week is the start of the holiday season & it’s our mission for every #breastcancer patient to celebrate many more holidays. We remain focused on funding breakthroughs in research. Patients are counting on us but we can’t do it alone. Join our fight to save lives. pic.twitter.com/sNPW6AU8Zy,stearate
33,Gearing up for my 1st genetic counseling appt tomorrow to discuss #breastcancer prevention. Started reading forums about prophylactic salpingo-oophorectomy and mastectomy with reconstruction and freaking out. Who wants to tell me menopause before 40 and new boobs ain't so bad?,stearate
34,"Tonight , Felt chilled , achy , couldn’t stand unaided Temp checked by my son . Normal . Walking stick to aid me walking up the stairs . 89yr M-in-law  with broken foot has more mobility. #busylivingwithmets #breastcancer #letrozole",letrozole
35,"Enter to WIN this beautiful boat by #reefrunnerboats — complete with TACO Rub Rail and our new Flush Mount LED Navigation Lights. Visit @reef_runner_boats on Instagram for more info. Money raised goes to the @komenmiaftl, supporting efforts to find a cure for #breastcancer. pic.twitter.com/49ZU19jidJ",intragam
36,"One radiation treatment down; nineteen to go! It is not a pleasant process and it burns a little already, but it will help to keep the cancer from returning; and recurrence is my biggest fear. #radiation #breastcancer",femara
37,"They'll have to work without pay. SUCK. IT. UP. federal courts. Just like you make my wife suck it up to face #breastcancer without the treatment coverage she's entitled to by law. Just thank God you  didn't get cancer, you just lost paychecks. #FederalEmployees",femera
38,My #breastcancer wasn't caused by #solarpanels. Maybe we should ban  bbqs - they have carcinogenic properties. ,preoperative
39,Sometimes I must try and take myself back to the day I learned the cold truth of my #breastcancer and the pure unadulterated fear I felt. I would do anything to save my own life back then. My oncologist today brought me back to reality I need all the meds I can get ,femara
40,"To women out there who get tummy tucks - you're out of your freaking minds! Especially if u don't have a ton of excess skin. I'm grateful for the skin I had in my muffin top so it could create a new breast for me, but this recovery is HARD! #diepflap #reconstruction #breastcancer pic.twitter.com/fJTis2FaqM",acetate
41,"To women out there who get tummy tucks - you're out of your freaking minds! Especially if u don't have a ton of excess skin. I'm grateful for the skin I had in my muffin top so it could create a new breast for me, but this recovery is HARD! #diepflap #reconstruction #breastcancer pic.twitter.com/fJTis2FaqM",citrate
42,Matt everyone is aware of #breastcancer so a pink receipt isn’t going to make much difference but a message on it asking people to support #research yes - without it people like me living with #secondarybreastcancer will die - we need better drugs & #drugaccess & treatments,chemotherapy
43,"Yesterday, 2 weeks after the 1st chemo treatment, I started losing my hair. A few strands turned into handfuls, and the next thing you know I’m rocking a scarf. Stephen said I’ve never looked more beautiful, & I’m thinking how did I get so lucky. #chemo #breastcancer #ginnystrongpic.twitter.com/gs5mxMlBGh",chemotherapy
44,"Yesterday, 2 weeks after the 1st chemo treatment, I started losing my hair. A few strands turned into handfuls, and the next thing you know I’m rocking a scarf. Stephen said I’ve never looked more beautiful, & I’m thinking how did I get so lucky. #chemo #breastcancer #ginnystrongpic.twitter.com/gs5mxMlBGh",stearate
45,Likewise Joyce! You had a long day and very early start this morning. Your exhibitors stand and info looked really great @joyceocarroll So sorry we hadn't more time to talk with each other but will rectify that soon #breastcancer #advocates,stearate
46,Ovarian suppression in premenopausal #breastcancer we know hormonal therapy extends survival says Dr O’Shaughnessy ⁦@OncLiveSOSS⁩ #stateofsciencepic.twitter.com/yEdVJ3xfsl,monotherapy
47,"This is my rest face. No chemo this weekrest as I have neutropenia. With a 1 and 4 year old saying mommy, mommy, mommy, rest is hard. The I realize I don’t even know how to rest. I am learning. Any tips? #restfortheweary #WarriorStrong #breastcancer #meditation #mindfulnesspic.twitter.com/jaHB1nbsTO",chemotherapy
48,Hospital day tomorrow after a very unwell weekend. This trial is meant to be easier going than chemo but appears to be kicking my ass. I'm already dreading having to get out of bed in 10 hours #SicknessSucks #breastcancer #secondarybreastcancer #clinicaltrials #fatigue #IFHC,chemotherapy
49,I was reassured by @Otto_DFCI that the #chemo I received for my #lobular #breastcancer was not in vain. Hope that helps.#ASCO19,asco15
50,I was reassured by @Otto_DFCI that the #chemo I received for my #lobular #breastcancer was not in vain. Hope that helps.#ASCO19,asco16
51,Just got my radiation schedule and I start a week from today!! Every day for 6 weeks. I’ll be done end of July and looking forward to a new beginning!!!!! Can’t wait to put this journey behind me. #breastcancer,stearate
52,#breastcancer great news today. My cancer is not in my bones or anywhere other than the lymphnode and one breast! I can move forward to the oncologist Thursday and get 6mo of chemo start date so hopefully it retreats enough I can keep some nodes and enough skin for new boobs!,chemotherapy
53,#breastcancer great news today. My cancer is not in my bones or anywhere other than the lymphnode and one breast! I can move forward to the oncologist Thursday and get 6mo of chemo start date so hopefully it retreats enough I can keep some nodes and enough skin for new boobs!,stearate
54,Two of our #HMHFellows were selected for @ASCO @AACR Vail workshop to develop effective clinical trial designs for #breastcancer and #uvealmelanoma.,asco15
55,Two of our #HMHFellows were selected for @ASCO @AACR Vail workshop to develop effective clinical trial designs for #breastcancer and #uvealmelanoma.,asco16
56,Two of our #HMHFellows were selected for @ASCO @AACR Vail workshop to develop effective clinical trial designs for #breastcancer and #uvealmelanoma.,aacr16
57,"#breastcancer and whoops my new swimmingpool is all the better for movement! Yeay and upyours, been it since she there #latin",eloxatin
58,Hi @MandyFi63943714! We would be happy to sell you a Digging for a Cure t-shirt to help raise additional funds for #breastcancer research and @komenkswmo. Please contact our Kansas City branch directly at 913-850-6300 if you're interested!,ibrance
59,I have just done my last filgrastim injection. I say with hand on heart that I hope it's the last time I have to take it ever. I know it's not a given but there is always hope. Onwards and upwards. #breastcancer #chemo,chemotherapy
60,Friday we kick off the 16th @The3Day here in #Michigan!! Since 2004 the #MI3Day has raised more than $57 Million in the fight to end #breastcancer!! A few things have change but the fight remains the same!! These are from my first walk when I was 16!! #RememberTents #Campingpic.twitter.com/PZz4GkZvKz,regimins
61,That moment when you ask your mom to send pics of her tatas- but for context my mom is a breast cancer survivor getting nipple tattoos so it’s not totally creepy. When your boobs can kill you- they became a less taboo subject. #breastcancer #savethetatas,knippex
62,"In #Raleigh? Passionate about helping others? Join me 1 wk from tonight at the @AmericanCancer #MakingStrides kickoff party @HiltonRaleighN. We need you to be a sponsor, #volunteer, #team captain, #fundraiser or participant! Msg me to #RSVP or get more details. #breastcancer pic.twitter.com/oKbaUQeChB",pamidronate
63,My friends came to my last chemo with pink balloons some years ago. Ever since than we keep the tradition-in a hope to end #breastcancer one day . Congrats to Ayala for last chemo today. In the healing journey chemo is the one who we remember forever. pic.twitter.com/l16d58Bkv0,chemotherapy
64,My friends came to my last chemo with pink balloons some years ago. Ever since than we keep the tradition-in a hope to end #breastcancer one day . Congrats to Ayala for last chemo today. In the healing journey chemo is the one who we remember forever. pic.twitter.com/l16d58Bkv0,chemotherapy
65,My friends came to my last chemo with pink balloons some years ago. Ever since than we keep the tradition-in a hope to end #breastcancer one day . Congrats to Ayala for last chemo today. In the healing journey chemo is the one who we remember forever. pic.twitter.com/l16d58Bkv0,chemotherapy
66,The amazing mum who beat #breastcancer's story was similar to mine except the holiday bit. I'm waiting till my reconstruction b4 planning my holiday. ,biosimilars
67,My oncologist just switched my meds to Letrizole (I believe it is spelled this way?) so I’m feeling good about that!! This is the one most of my friends are on who have gone through #breastcancer ,letrazol
68,My oncologist just switched my meds to Letrizole (I believe it is spelled this way?) so I’m feeling good about that!! This is the one most of my friends are on who have gone through #breastcancer ,letrozole
69,"At 360 lbs on 1/1/19, I decided sobriety and a better #IntermittentFasting regimen was needed. I’ve battled #breastcancer, worked hard, and am officially in the 200 Club. I promised my wife I’d get back into .@DDPYoga at 300. Tomorrow is the day. I’m ready. #MensHealthpic.twitter.com/NOoPas9E2s",regimins
70,"So exciting.  Working in #lupus #nephritis but having recently benefited from precision medicine to allow me to decide I didn’t need chemo for #breastcancer, I want to be able to offer similar prognostic information for my #kidney #patients.  Thanks for highlighting @FionaCLoud",chemotherapy
71,"So exciting.  Working in #lupus #nephritis but having recently benefited from precision medicine to allow me to decide I didn’t need chemo for #breastcancer, I want to be able to offer similar prognostic information for my #kidney #patients.  Thanks for highlighting @FionaCLoud",biosimilars
72,How excited am I about this delivery today? ⁦@DrPaulNassif⁩ #skincare #as/if regimen. I’m ready to get my hair and skin back on track after 10 months of dealing with #breastcancer I’ve neglected both during chemo. I’m ready for a fresh start!! #botched ⁦@BotchedTV⁩pic.twitter.com/8TRpMLF2zv,regimins
73,How excited am I about this delivery today? ⁦@DrPaulNassif⁩ #skincare #as/if regimen. I’m ready to get my hair and skin back on track after 10 months of dealing with #breastcancer I’ve neglected both during chemo. I’m ready for a fresh start!! #botched ⁦@BotchedTV⁩pic.twitter.com/8TRpMLF2zv,chemotherapy
74,How excited am I about this delivery today? ⁦@DrPaulNassif⁩ #skincare #as/if regimen. I’m ready to get my hair and skin back on track after 10 months of dealing with #breastcancer I’ve neglected both during chemo. I’m ready for a fresh start!! #botched ⁦@BotchedTV⁩pic.twitter.com/8TRpMLF2zv,stearate
75,"If my mammo is clean, I’ll still be NED.  Dexa in 6 months to make sure this med isn’t depleting my bones. Can’t say I’m in remission for 3 more years #breastcancer #cancerNED",calan
76,"Go for oral livecells therapy because our body is made of stemcell, +639175110518 #Alzheimers #breastcancer #Colon #Dementia #Epilepsy #Fibromyalgia #gout #hypertension #immunotherapy #LupusChat #MileyCyrus #livercancer #ChronicPain #AIDS #HIV",monotherapy
77,"Getting pedicures with my best friend, my mama, as a celebration for the great news I received from my last MRI! They could not find a mass, which means that every painful minute of that brutal chemo was worth it. I’m ready for chemo round 2! #chemo #breastcancer #mom #tnbcpic.twitter.com/viGoGSbBfw",chemotherapy
78,"Getting pedicures with my best friend, my mama, as a celebration for the great news I received from my last MRI! They could not find a mass, which means that every painful minute of that brutal chemo was worth it. I’m ready for chemo round 2! #chemo #breastcancer #mom #tnbcpic.twitter.com/viGoGSbBfw",chemotherapy
79,Wear your PV gear tomorrow & buy your pink shirt from @PutValley_Cheer so we can wear pink EVERY WEDNESDAY in October for #breastcancer awareness! @NotoFrye @mattmello56 @abookforfrancespic.twitter.com/5xS5Akodxp,gemzar
80,Congratulations to our Peer Navigators who presented a poster at the @AACR #HealthDisparities Conference. Their project focused on innovative #PatientEngagement strategies to elevate knowledge of #breastcancer and #ClinicalTrials among African American women. #aacrdisp19pic.twitter.com/JpsZmWRVHr,aacr16
81,"2 yrs ago I had a meltdown when my long hair started falling out in handfuls. It was my 1st time w/#chemo & it happened fast. It’s devastating for women, sometimes the hardest part of dealing w/#cancer. It’s emotional.  #breastcancer pic.twitter.com/oyVcln0yC7",stearate
82,"It’s always hard when you find out you #patient has #metastatic #breastcancer. I’m glad for all the advances we have made in systemic therapy, and of the renewed interest in care for metastatic patients. More needs to be done tho. #surgonc @ASBrS @SocSurgOnc",monotherapy
83,Grateful to @KUcancercenter and the @AmericanCancer Society Institutional Research Grant program for funding my pilot project exploring tumor-myeloid interactions in immunotherapy-resistant triple negative #breastcancer! #bcsmpic.twitter.com/tcOHrVHhHY,monotherapy
84,"We invite you to our next Surgical Horizons Seminar, Thursday, Dec. 19, noon-1 PM. Elizabeth Mittendorf, MD, PhD @BWH Surgery @DanaFarber, will present “Immunotherapy for Breast Cancer: Contributions of a Surgeon-Scientist.” Lunch: 11:45. 110 Francis St, Lowry 9. #breastcancer pic.twitter.com/DscGCBzGU2",monotherapy
85,@KPMemberService @kpthrive Repeated my question to a member services rep on the phone (when I was called by them) Why is Kaiser (SFBay area) *not* yet trained to use their Tomosynthesis machines? Rep said he “would get back to me.” He hasn’t. #Tomosynthesis #breastcancer,aredia
86,"Today we are thankful for all of the researchers, scientists, advocates, and supporters who are working to create a world in which no one loses a loved one to #breastcancer. #HappyThanksgiving to you and all of your families! What are you thankful for?pic.twitter.com/14y3ulvYSe",acetate
87,"Today we are thankful for all of the researchers, scientists, advocates, and supporters who are working to create a world in which no one loses a loved one to #breastcancer. #HappyThanksgiving to you and all of your families! What are you thankful for?pic.twitter.com/14y3ulvYSe",citrate
88,Question for our #breastcancer & GI #oncologists #HER2 #BRCA - I’ve seen several pts where systemic Rx works really well butCNS mets develop. Don’t believe it’s progression; more so BBB penetration/sanctuary. Next anti-HER2 or chemo besides local XRT? #bcsm #stcsm #esocsmpic.twitter.com/TxGmOKnbaq,chemotherapy
89,Recently I got very sick at Cracker Barrel after going through chemo and radiation treatments. I had a wonderful young lady as my waitress who prepared our meal to go and left a message for me on a napkin. #crackerbarrel #breastcancerawareness #breastcancer pic.twitter.com/X5N6iz52tL,chemotherapy
90,Recently I got very sick at Cracker Barrel after going through chemo and radiation treatments. I had a wonderful young lady as my waitress who prepared our meal to go and left a message for me on a napkin. #crackerbarrel #breastcancerawareness #breastcancer pic.twitter.com/X5N6iz52tL,chemotherapy
91,"Nothing is changing and this is the result of not being made a research priority. We are on track for 42,000 more deaths. It’s not just breast cancer dying in masses. All stage 4 cancers lack research. Prevent our deaths with better treatments. #cancer #research #breastcancer pic.twitter.com/9wd1HzfZTq",chemotherapy
92,"One year ago today I had my first round of chemo. 6 rounds later, lumpectomy,  20 rounds of radiation,  17 rounds of Herceptin  I am done and cancer free. #breastcancer #Survivor #cancersurvivor #CancerFree #FIGHTER #strongwomen #strongwoman",chemotherapy
93,"One year ago today I had my first round of chemo. 6 rounds later, lumpectomy,  20 rounds of radiation,  17 rounds of Herceptin  I am done and cancer free. #breastcancer #Survivor #cancersurvivor #CancerFree #FIGHTER #strongwomen #strongwoman",herceptin
94,Hello ! Smiling coz my hair is growing back fast after chemo ! #kickcancersarse #breastcancer #cancersuckspic.twitter.com/1cImxmL1aZ,chemotherapy
95,Yes it is. Saw calendar girls the musical last year. Very good and brought me to tears . I'd just started on my #treatmentjourney for #breastcancer pic.twitter.com/1N5rxjxwUE,stearate
96,Absolutely loved this episode . What a fascinating man. So calm and dignified. How did he manage to look so dapper throughout.  I want to be there so much. perfect escape from my #treatmentjourney for #breastcancer peace quiet and clean air utter bliss ,calan
97,"""I have moments of fear, darkness & disbelief but I try to learn from my emotions on how to become stronger & accept the challenge. I applaud & appreciate everything this organization strives for and I hope to be crossing that finish line!""- Valerie, #breastcancer survivor pic.twitter.com/K7pqkuXEDs",femara
98,Continue to support the #Amazing @PinkSisters__ and our Principal received this certificate for doing what she will always do for such brave Ladies and Fantastic Charity  #Support #breastcancer #charity #StokeOnTrent #ABSODfamilypic.twitter.com/mXgihM2E0x,arave
99,"#15 Carla #SASWhoDaresWins is my new hero for @theBreastCentre gym! Watching her lift barrels, run up mountains, carry someone on her shoulders and abseil off a cliff ONE year after surgery,  #chemo and #radiotherapy for #breastcancer is truly inspirational #strongwomenpic.twitter.com/pGeTNHhpKF",calan
100,"Our wonderful #NHS have kicked my #breastcancer into a corner & it was because of cancer centres like the one you have just seen. Let it give you strength, not fear. Tho pushed to the edges of reason our NHS is still capable of wonderful things. Trust them and much love ",femara
101,"Watching @MaryLloyd4 tweet her #breastcancer #progress via #Chemo & her #gratitude for those who help her is great. for me as a #headandneckcancer patient doing well, Instagram sharing helps me. This comment below made my day. #patientcentred #reasonfortreatment @HNCMaureenpic.twitter.com/kj8PgdgjDK",intragam
102,"This is so heartwarming, and resonates with me in particular as I continue my chemotherapy I have started to lose my hair....it’s very frightening, I feel very vulnerable, but the love of friends keep me strong #lifechallenges #breastcancer #friendshippic.twitter.com/y9nKuxNcOk",chemotherapy
103,"This is so heartwarming, and resonates with me in particular as I continue my chemotherapy I have started to lose my hair....it’s very frightening, I feel very vulnerable, but the love of friends keep me strong #lifechallenges #breastcancer #friendshippic.twitter.com/y9nKuxNcOk",stearate
104,"Hi @Tyson_Fury loving the documentary, we are looking to retire to the #Boltonlesands or #HestBank area but our plans have been put on hold as I now have #stage4 #breastcancer We love the area especially The Crossing Micro Pub. Enjoy #LasVegas  #heavyweight #boxing ",aredia
105,"Hi @Tyson_Fury loving the documentary, we are looking to retire to the #Boltonlesands or #HestBank area but our plans have been put on hold as I now have #stage4 #breastcancer We love the area especially The Crossing Micro Pub. Enjoy #LasVegas  #heavyweight #boxing ",aredia
106,"Our Program Officer, Jayla, tells California state-regulators that fossil fuels fueling the climate crisis are also fueling the #breastcancer crisis. We are exposed to cancer-causing chemicals from dangerous drilling in our air and water! @GavinNewsom #NoDrillingWhereWereLivingpic.twitter.com/L49IMwIMoQ",stearate
107,@BBCWomansHour May the new class drug reducing hot flushes in menopausal women help me and millions of other women on hormone blockers as part of breast cancer treatment? That would be great as HRT is not an option. I am on Tamoxifen and flushes are as bad in the past 5 years.,tamoxifen
108,Could this help me and millions of other women on hormone blockers as part of breast cancer treatment? HRT is not an option for us I am on Tamoxifen now and the flushes have not improved over the past 5 years.,tamoxifen
109,Could this help me and millions of other women on hormone blockers as part of breast cancer treatment? HRT is not an option and Tamoxifen /AIs bring on hot flushes. They have not improved since I am on the drugs now for 5 years and 5 more to come.,tamoxifen
110,"""Milla, I have had a problem with my hair. I do know that as you age, your hair may thin and possibly become almost """"baby fine"""". I am a breast cancer survivor....and am taking Tamoxifen.  My hair is sometimes """"un-cooperative"""" when I try to style it. Any tips for BC patients?""",preoperative
111,@rickygervais #Afterlife @netflix is the most real portrayal of grief we have ever witnessed. Thank you a thousand times for bringing it to the forefront #bereavement #grief #loss #raredisease #breastcancer #tamoxifen,tamoxifen
112,Excellent cause! I hope you are doing well. I had breast cancer too. I'm into my 3rd year of Tamoxifen.,tamoxifen
113,"""I'm going to go take my ACA-insurance covered Tamoxifen now, which helps my breast cancer from re-occurring. """,tamoxifen
114,"""Since my brother-in-law is fighting breast cancer right now (it spread to lymph nodes, so he's on tamoxifen for 10 yrs), take it seriously.""",tamoxifen
115,@tevapharm why in the hell did you stop producing a generic tamoxifen? #breastcancer @Breastcancerorg,tamoxifen
116,"""anxious to read up on this!  As a breast cancer survivor and being on Tamoxifen, belly fat is a problem. This will be great starting point for me. Thanks!""",tamoxifen
117,"""I very much believe in western medicine as it has saved both my life, my mom’s life, pretty much everyone in my family’s. My mom had breast cancer and she’s on tamoxifen to reduce the chances of it coming back. She’s also on medication for her diabetes, which almost killed her""",tamoxifen
118,"""Hi Melanie, we don't know each other. I had breast cancer diag. 11/1999, had 2 surgeries, and a mastectomy on 2/5/2000, tamoxifen for 5 yrs, and gratefully have been cancer free since. Caught early is a good thing. Prayers for your mom, you and the rest of your family .""",tamoxifen
119,"""I had breast cancer in left breast last year. Was put on tamoxifen. Now have b/c in right breast a grade higher. Tamoxifen does not work. In fact if anything, made mine worse!""",tamoxifen
120,"""I had breast cancer in left breast last year. Was put on tamoxifen. Now have b/c in right breast a grade higher. Tamoxifen does not work. In fact if anything, made mine worse!""",tamoxifen
121,"""21 years of annual post breast cancer screening. About $400 each time. Not to mention chemo , 10 years of tamoxifen and letrizole and radiotherapy. Treated myself a reconstruction ( my treat) but lots of $ over the years. Thanks @billshortenmp""",chemotherapy
122,"""21 years of annual post breast cancer screening. About $400 each time. Not to mention chemo , 10 years of tamoxifen and letrizole and radiotherapy. Treated myself a reconstruction ( my treat) but lots of $ over the years. Thanks @billshortenmp""",tamoxifen
123,"""21 years of annual post breast cancer screening. About $400 each time. Not to mention chemo , 10 years of tamoxifen and letrizole and radiotherapy. Treated myself a reconstruction ( my treat) but lots of $ over the years. Thanks @billshortenmp""",letrazol
124,"""21 years of annual post breast cancer screening. About $400 each time. Not to mention chemo , 10 years of tamoxifen and letrizole and radiotherapy. Treated myself a reconstruction ( my treat) but lots of $ over the years. Thanks @billshortenmp""",letrozole
125,"""21 years of annual post breast cancer screening. About $400 each time. Not to mention chemo , 10 years of tamoxifen and letrizole and radiotherapy. Treated myself a reconstruction ( my treat) but lots of $ over the years. Thanks @billshortenmp""",chemotherapy
